# Rime user dictionary
#@/db_name	luna_pinyin_simp.userdb
#@/db_type	userdb
#@/rime_version	1.5.3
#@/tick	5015
#@/user_id	745a313e-3b80-4f42-9e1d-fa237096293f
a 	啊	c=9 d=1.71725 t=5015
chao guo 	超過	c=1 d=0.263158 t=5015
chao shi 	超時	c=0 d=0.00112769 t=5015
chao shi shi jian 	超時時間	c=1 d=0.0113334 t=5015
che 	撤	c=0 d=0.00188734 t=5015
che lun 	車輪	c=0 d=0.000729913 t=5015
che xiao 	撤銷	c=0 d=0.0136695 t=5015
cheng 	成	c=1 d=0.060388 t=5015
cheng gong 	成功	c=3 d=0.805579 t=5015
cheng jiu 	成就	c=0 d=0.0203926 t=5015
cheng shi 	城市	c=1 d=0.647265 t=5015
cheng xu 	程序	c=0 d=0.0340268 t=5015
chi 	吃	c=1 d=0.0747952 t=5015
chi jiu 	持久	c=0 d=0.0737123 t=5015
chi jiu ceng 	持久層	c=1 d=0.0490458 t=5015
chi jiu tai 	持久態	c=7 d=2.44683 t=5015
chi jiu xing 	持久性	c=1 d=0.179066 t=5015
chi ku nai lao 	吃苦耐勞	c=1 d=0.209088 t=5015
chong 	重	c=0 d=0.0364219 t=5015
chong ding xiang 	重定向	c=1 d=0.289384 t=5015
chong fu 	重複	c=5 d=1.7644 t=5015
chong fu dai ma 	重複代碼	c=1 d=0.637628 t=5015
chong fu shi yong 	重複使用	c=1 d=0.562705 t=5015
chong gou 	重構	c=1 d=0.280832 t=5015
chong ming 	重名	c=1 d=0.0858632 t=5015
chong shi 	重試	c=0 d=0.0782705 t=5015
chong wu 	寵物	c=1 d=0.306476 t=5015
chong wu dian 	寵物店	c=0 d=0.0244143 t=5015
chong wu you 	寵物有	c=1 d=0.249075 t=5015
chong xie 	重寫	c=1 d=0.843665 t=5015
chong xin 	重新	c=0 d=0.0280832 t=5015
chong xin bu shu 	重新部署	c=1 d=0.282239 t=5015
chong zhi 	充值	c=1 d=0.220077 t=5015
chong zhi 	重置	c=1 d=0.289384 t=5015
chong zhi ji lu 	充值記錄	c=1 d=0.202909 t=5015
chou xiang 	抽象	c=0 d=0.0444965 t=5015
chou xiang lei 	抽象累	c=2 d=0.898669 t=5015
chou yan 	抽菸	c=1 d=0.285076 t=5015
chu cun 	儲存	c=1 d=0.826959 t=5015
chu cuo 	出錯	c=1 d=0.102797 t=5015
chu lai 	出來	c=2 d=0.0294201 t=5015
chu li 	處理	c=5 d=0.961318 t=5015
chu li bao 	處理包	c=1 d=0.822835 t=5015
chu li guan xi 	處理關係	c=1 d=0.00683978 t=5015
chu li guan yi 	處理冠以	c=1 d=0.0608101 t=5015
chu li qing qiu he xiang ying 	處理請求和相應	c=1 d=0.236928 t=5015
chu li wen jian shang chuan 	處理文件上傳	c=1 d=0.927743 t=5015
chu li wen jian xia zai 	處理文件下載	c=1 d=0.970446 t=5015
chu li yi lai guan xi 	處理依賴關係	c=1 d=0.0675424 t=5015
chu li yong hu 	處理用戶	c=1 d=0.0415857 t=5015
chu qu 	出去	c=0 d=0.025924 t=5015
chu qu zou zou 	出去走走	c=1 d=0.26054 t=5015
chu rou 	出肉	c=1 d=0.843665 t=5015
chu shi hua 	初始化	c=6 d=0.984844 t=5015
chu shou 	觸手	c=1 d=0.778801 t=5015
chu xian 	出現	c=1 d=0.0148464 t=5015
chu yu 	處於	c=3 d=0.936532 t=5015
chuan bo 	傳播	c=0 d=0.00108347 t=5015
chuan bo xing wei 	傳播行爲	c=1 d=0.010889 t=5015
chuan can 	傳參	c=4 d=0.354005 t=5015
chuan da 	川大	c=1 d=0.38868 t=5015
chuan di 	傳遞	c=1 d=0.828644 t=5015
chuan di de 	傳遞的	c=1 d=0.927743 t=5015
chuan di guo lai 	傳遞過來	c=1 d=0.535261 t=5015
chuan zhi 	傳值	c=1 d=0.126818 t=5015
chuang 	牀	c=1 d=1.63793e-11 t=5015
