# Rime user dictionary
#@/db_name	luna_pinyin.userdb
#@/db_type	userdb
#@/rime_version	1.5.3
#@/tick	173558
#@/user_id	745a313e-3b80-4f42-9e1d-fa237096293f
ao tang 	熬湯	c=1 d=6.17671e-68 t=131593
ao ye 	熬夜	c=1 d=1.39215e-11 t=173558
ao ye kan wan le bi sai 	熬夜看完了比賽	c=1 d=1.39913e-10 t=173558
ao yun hui 	奧運會	c=1 d=4.37164e-31 t=131593
ao zhou 	澳洲	c=3 d=1 t=136942
ba 	八	c=3 d=0.0152985 t=173558
ba 	吧	c=582 d=3.17959 t=173558
ba 	巴	c=2 d=1.23923e-09 t=173558
ba 	把	c=473 d=4.43451 t=173558
ba 	拔	c=1 d=1.23469e-39 t=173558
ba 	爸	c=1 d=0.000735471 t=173558
ba 	霸	c=0 d=1.97046e-10 t=173558
ba ba 	巴巴	c=0 d=3.45738e-07 t=173558
ba ba 	把把	c=2 d=1 t=138092
ba ba 	爸爸	c=9 d=0.965605 t=173558
ba ba 	粑粑	c=2 d=1 t=159113
ba ba ma ma 	爸爸媽媽	c=1 d=2.06354e-52 t=131593
ba bai 	八百	c=0 d=0.1 t=170602
ba bai ban 	八佰伴	c=0 d=0.0882496 t=173558
ba bian 	八變	c=1 d=2.01334e-27 t=131593
ba bing xian 	吧併線	c=1 d=2.50291e-117 t=131593
ba bu xia lai 	拔不下來	c=1 d=1 t=131892
ba chu lai 	拔出來	c=1 d=0.0150707 t=173558
ba di er ge xuan xiang 	把第二個選項	c=1 d=0.0221481 t=173558
ba dian 	八點	c=7 d=1.57698e-06 t=173558
ba dian ban 	八點半	c=3 d=0.467666 t=173558
ba dian zuo you ba 	八點左右吧	c=1 d=1 t=150552
ba diao 	拔掉	c=1 d=0.0119742 t=173558
ba e o shi 	吧呃喔是	c=1 d=1.34968e-116 t=131593
ba fang 	八方	c=1 d=1 t=140525
ba ge 	八個	c=1 d=8.23395e-09 t=173558
ba ge 	八哥	c=0 d=0.00178634 t=131593
ba gu 	八股	c=0 d=9.40102e-40 t=173558
ba gu xian 	八股線	c=1 d=9.44815e-39 t=173558
